Date,Hisse Kodu,Open,High,Low,Close,Volume
2025-09-15,THYAO.IS,313.25,332.5,310.25,331.75,52033362
2025-09-16,THYAO.IS,331.5,331.5,325.0,327.0,40226846
2025-09-17,THYAO.IS,327.0,327.25,321.25,321.5,34230277
2025-09-18,THYAO.IS,323.0,326.0,317.0,317.75,34917799
2025-09-19,THYAO.IS,319.0,322.0,313.25,319.75,43870527
2025-09-22,THYAO.IS,327.5,330.25,324.5,326.0,43892594
2025-09-23,THYAO.IS,323.0,327.5,320.0,324.75,40017266
2025-09-24,THYAO.IS,326.0,327.5,317.75,324.0,42762282
2025-09-25,THYAO.IS,325.5,332.5,325.5,328.25,39070278
2025-09-26,THYAO.IS,329.25,329.5,319.25,319.75,54508756
2025-09-29,THYAO.IS,318.0,324.5,316.5,319.25,37562966
2025-09-30,THYAO.IS,321.25,323.75,314.0,315.0,33491387
2025-10-01,THYAO.IS,315.5,318.75,311.75,315.75,44237945
2025-10-02,THYAO.IS,315.75,318.5,314.5,315.0,39859117
2025-10-03,THYAO.IS,316.0,317.25,310.75,311.0,31181374
2025-10-06,THYAO.IS,312.5,317.0,304.0,305.5,40200172
2025-10-07,THYAO.IS,306.25,314.5,305.5,313.75,32264093
2025-10-08,THYAO.IS,313.5,316.75,307.5,310.25,41143341
2025-10-09,THYAO.IS,316.75,318.25,310.75,312.5,37074561
2025-10-10,THYAO.IS,313.25,317.75,310.75,313.75,36347821
2025-10-13,THYAO.IS,309.5,312.25,307.75,309.0,29718699
2025-10-14,THYAO.IS,309.25,310.25,300.25,302.0,31639213
2025-10-15,THYAO.IS,302.75,306.25,298.0,300.75,41747312
2025-10-16,THYAO.IS,299.25,302.0,295.5,296.0,38875850
2025-10-17,THYAO.IS,295.0,296.0,287.75,292.0,57747825
2025-10-20,THYAO.IS,293.25,300.25,290.0,297.75,51523112
2025-10-21,THYAO.IS,298.5,298.75,293.0,294.5,30462184
2025-10-22,THYAO.IS,295.5,296.0,287.0,288.0,42484656
2025-10-23,THYAO.IS,288.5,290.25,283.75,284.25,40555813
2025-10-24,THYAO.IS,287.0,302.25,287.0,297.0,84622262
2025-10-27,THYAO.IS,297.0,298.5,293.0,295.0,27751916
2025-10-28,THYAO.IS,294.75,295.75,292.0,292.0,10268579
2025-10-29,THYAO.IS,292.0,292.0,292.0,292.0,0
2025-10-30,THYAO.IS,292.75,294.75,289.5,290.0,27637939
2025-10-31,THYAO.IS,290.25,293.25,289.0,291.5,28385482
2025-11-03,THYAO.IS,293.25,295.75,292.25,294.0,41693246
2025-11-04,THYAO.IS,294.0,295.0,288.25,289.0,29538148
2025-11-05,THYAO.IS,289.5,292.0,287.25,290.0,37593637
2025-11-06,THYAO.IS,291.75,294.5,288.0,292.5,33000037
2025-11-07,THYAO.IS,296.0,298.25,288.0,289.5,42808807
2025-11-10,THYAO.IS,291.0,291.5,278.25,278.25,43267774
2025-11-11,THYAO.IS,278.25,281.0,266.5,273.0,54581700
2025-11-12,THYAO.IS,275.25,275.5,268.0,268.0,37544314
2025-11-13,THYAO.IS,269.25,274.5,269.25,271.0,34972867
2025-11-14,THYAO.IS,270.5,271.0,267.0,268.0,23990009
2025-09-15,GARAN.IS,137.1999969482422,146.5,134.6999969482422,146.3000030517578,78430234
2025-09-16,GARAN.IS,146.60000610351562,149.89999389648438,145.39999389648438,149.8000030517578,40932468
2025-09-17,GARAN.IS,149.60000610351562,150.1999969482422,148.10000610351562,148.5,29191880
2025-09-18,GARAN.IS,149.10000610351562,149.1999969482422,142.3000030517578,143.60000610351562,21493157
2025-09-19,GARAN.IS,144.0,148.3000030517578,143.39999389648438,148.0,31856056
2025-09-22,GARAN.IS,152.3000030517578,153.5,149.60000610351562,149.60000610351562,32400250
2025-09-23,GARAN.IS,147.6999969482422,149.39999389648438,145.3000030517578,146.5,21892736
2025-09-24,GARAN.IS,147.0,148.10000610351562,142.8000030517578,146.0,28763507
2025-09-25,GARAN.IS,146.8000030517578,147.3000030517578,141.89999389648438,142.5,25962589
2025-09-26,GARAN.IS,141.89999389648438,144.1999969482422,139.5,139.8000030517578,30753258
2025-09-29,GARAN.IS,138.1999969482422,140.39999389648438,137.5,137.60000610351562,25384193
2025-09-30,GARAN.IS,138.3000030517578,140.0,137.5,139.8000030517578,28646594
2025-10-01,GARAN.IS,139.3000030517578,147.10000610351562,138.3000030517578,146.0,36857066
2025-10-02,GARAN.IS,145.5,146.8000030517578,140.0,140.5,27256027
2025-10-03,GARAN.IS,141.5,141.6999969482422,135.3000030517578,135.6999969482422,36730967
2025-10-06,GARAN.IS,136.60000610351562,136.8000030517578,132.5,133.0,22693319
2025-10-07,GARAN.IS,133.10000610351562,134.5,132.0,134.5,26862988
2025-10-08,GARAN.IS,134.3000030517578,135.89999389648438,130.8000030517578,130.89999389648438,36518898
2025-10-09,GARAN.IS,132.60000610351562,133.1999969482422,128.5,130.0,30130619
2025-10-10,GARAN.IS,130.10000610351562,131.3000030517578,128.6999969482422,130.10000610351562,18298861
2025-10-13,GARAN.IS,127.5,129.39999389648438,125.80000305175781,126.69999694824219,22533076
2025-10-14,GARAN.IS,127.0,127.5999984741211,119.4000015258789,119.5,34958433
2025-10-15,GARAN.IS,120.19999694824219,121.4000015258789,117.5,118.80000305175781,60986453
2025-10-16,GARAN.IS,117.9000015258789,121.9000015258789,117.5999984741211,120.5,47402415
2025-10-17,GARAN.IS,119.4000015258789,120.30000305175781,115.4000015258789,118.0999984741211,41818981
2025-10-20,GARAN.IS,118.5999984741211,124.69999694824219,117.5999984741211,124.19999694824219,46436345
2025-10-21,GARAN.IS,124.4000015258789,127.4000015258789,123.4000015258789,125.9000015258789,37392880
2025-10-22,GARAN.IS,126.5,127.69999694824219,125.30000305175781,126.0,30928020
2025-10-23,GARAN.IS,126.4000015258789,129.10000610351562,125.30000305175781,126.19999694824219,60700239
2025-10-24,GARAN.IS,127.9000015258789,137.8000030517578,126.69999694824219,131.60000610351562,109283397
2025-10-27,GARAN.IS,131.0,131.39999389648438,128.1999969482422,128.8000030517578,31453242
2025-10-28,GARAN.IS,128.60000610351562,129.5,128.0,128.0,11348291
2025-10-29,GARAN.IS,128.0,128.0,128.0,128.0,0
2025-10-30,GARAN.IS,130.39999389648438,131.3000030517578,128.1999969482422,130.0,37491614
2025-10-31,GARAN.IS,130.60000610351562,134.60000610351562,129.1999969482422,134.60000610351562,57293889
2025-11-03,GARAN.IS,135.39999389648438,138.89999389648438,134.10000610351562,134.5,47979367
2025-11-04,GARAN.IS,134.5,137.10000610351562,133.3000030517578,134.1999969482422,41812400
2025-11-05,GARAN.IS,134.1999969482422,136.5,132.3000030517578,135.0,37789382
